key,type,description,priority,estimated-duration,key:technician
# base entity
task-00,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,20,technician-01
# type - standard variations
task-01,INSPECTION,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,20,technician-01
task-02,REPAIR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,20,technician-01
task-03,SYSTEM_CHECK,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,20,technician-01
# description - standard variations
task-04,MAINTENANCE,L,5,20,technician-01
task-05,MAINTENANCE,Lo,5,20,technician-01
task-06,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",5,20,technician-01
task-07,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",5,20,technician-01
task-08,MAINTENANCE,โลเร็ม อิปซัม,5,20,technician-01
task-09,MAINTENANCE,لوريم إيبسوم,5,20,technician-01
task-10,MAINTENANCE,洛伦·伊普森,5,20,technician-01
task-11,MAINTENANCE,"<marquee>Hacked</marquee>",5,20,technician-01
task-12,MAINTENANCE,"<script>alert(‘Hacked!’);</script>",5,20,technician-01
task-13,MAINTENANCE,"' or 'A' = 'A ",5,20,technician-01
# priority - standard variations
task-14,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",0,20,technician-01
task-15,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",1,20,technician-01
task-16,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",9,20,technician-01
task-17,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",10,20,technician-01
# estimated-duration - standard variations
task-18,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,0,technician-01
task-19,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,1,technician-01
task-20,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,999,technician-01
task-21,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,1000,technician-01
# technician - standard variations
task-22,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,20,technician-02
